name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Methanothermococcus	155862	G	2	0.00000	3	0.00000	1	0.00000	4	0.00000	0	0.00000
Methanocaldococcus	196118	G	26	0.00001	5	0.00000	16	0.00000	15	0.00000	0	0.00000
Methanosarcina	2207	G	230	0.00009	65	0.00001	60	0.00002	128	0.00003	0	0.00000
Methanococcoides	2225	G	16	0.00001	0	0.00000	0	0.00000	2	0.00000	0	0.00000
Methanolobus	2220	G	3	0.00000	8	0.00000	2	0.00000	7	0.00000	0	0.00000
Methanohalophilus	2175	G	2	0.00000	3	0.00000	9	0.00000	2	0.00000	0	0.00000
Methanohalobium	2321	G	1	0.00000	0	0.00000	0	0.00000	8	0.00000	0	0.00000
Methanosalsum	196136	G	1	0.00000	1	0.00000	2	0.00000	1	0.00000	0	0.00000
Methanothrix	2222	G	1	0.00000	6	0.00000	13	0.00000	19	0.00000	0	0.00000
Methanospirillum	2202	G	8	0.00000	1	0.00000	1	0.00000	4	0.00000	0	0.00000
Methanoculleus	45989	G	4	0.00000	17	0.00000	16	0.00000	52	0.00001	0	0.00000
Methanofollis	81416	G	2	0.00000	0	0.00000	2	0.00000	2	0.00000	0	0.00000
Methanosphaerula	475087	G	1	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000
Methanocella	570266	G	7	0.00000	25	0.00000	15	0.00000	33	0.00001	0	0.00000
Natronorubrum	134813	G	13	0.00001	5	0.00000	7	0.00000	12	0.00000	2	0.00000
Natrialba	63742	G	12	0.00000	3	0.00000	1	0.00000	2	0.00000	6	0.00000
Halopiger	387342	G	7	0.00000	38	0.00001	10	0.00000	24	0.00000	0	0.00000
Natrarchaeobaculum	2765402	G	5	0.00000	1	0.00000	3	0.00000	1	0.00000	0	0.00000
Natrinema	88723	G	1	0.00000	25	0.00000	13	0.00000	25	0.00000	0	0.00000
Haloplanus	376170	G	12	0.00000	2	0.00000	3	0.00000	10	0.00000	0	0.00000
Halogeometricum	60846	G	3	0.00000	15	0.00000	4	0.00000	18	0.00000	0	0.00000
Haloquadratum	293431	G	1	0.00000	24	0.00000	5	0.00000	8	0.00000	0	0.00000
Candidatus Halobonum	1431544	G	8	0.00000	9	0.00000	0	0.00000	9	0.00000	0	0.00000
Halorubrum	56688	G	1	0.00000	11	0.00000	14	0.00000	23	0.00000	0	0.00000
Salinigranum	1644057	G	13	0.00001	0	0.00000	10	0.00000	10	0.00000	0	0.00000
Haloarcula	2237	G	4	0.00000	30	0.00001	8	0.00000	30	0.00001	0	0.00000
Halomicrobium	203135	G	4	0.00000	0	0.00000	2	0.00000	3	0.00000	1	0.00000
Natronomonas	63743	G	2	0.00000	12	0.00000	16	0.00000	12	0.00000	0	0.00000
Salinibaculum	2732368	G	3	0.00000	3	0.00000	1	0.00000	2	0.00000	0	0.00000
Halobacterium	2239	G	1	0.00000	35	0.00001	16	0.00000	31	0.00001	0	0.00000
Thermococcus	2263	G	35	0.00001	36	0.00001	32	0.00001	66	0.00001	0	0.00000
Pyrococcus	2260	G	14	0.00001	27	0.00001	21	0.00001	32	0.00001	0	0.00000
Methanomassiliicoccus	1080709	G	17	0.00001	1	0.00000	6	0.00000	5	0.00000	0	0.00000
Candidatus Methanomethylophilus	1291539	G	3	0.00000	2	0.00000	6	0.00000	2	0.00000	0	0.00000
Cuniculiplasma	1747777	G	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Geoglobus	190818	G	5	0.00000	4	0.00000	2	0.00000	8	0.00000	0	0.00000
Archaeoglobus	2233	G	1	0.00000	38	0.00001	27	0.00001	41	0.00001	0	0.00000
Candidatus Nitrosotalea	1078904	G	90	0.00003	0	0.00000	0	0.00000	3	0.00000	0	0.00000
Candidatus Nitrosotenuis	1825023	G	6	0.00000	30	0.00001	4	0.00000	11	0.00000	0	0.00000
Nitrosopumilus	338191	G	79	0.00003	6	0.00000	14	0.00000	12	0.00000	0	0.00000
Candidatus Nitrosomarinus	1993653	G	3	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000
Nitrosarchaeum	1007082	G	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Saccharolobus	2100760	G	58	0.00002	0	0.00000	2	0.00000	0	0.00000	0	0.00000
Acidianus	12914	G	51	0.00002	8	0.00000	8	0.00000	8	0.00000	0	0.00000
Sulfolobus	2284	G	9	0.00000	50	0.00001	20	0.00001	53	0.00001	0	0.00000
Sulfurisphaera	69655	G	2	0.00000	23	0.00000	8	0.00000	20	0.00000	0	0.00000
Metallosphaera	41980	G	1	0.00000	5	0.00000	3	0.00000	8	0.00000	0	0.00000
Caldisphaera	200414	G	10	0.00000	1	0.00000	0	0.00000	1	0.00000	0	0.00000
Pyrolobus	54251	G	8	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Staphylothermus	2279	G	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermofilum	2268	G	1	0.00000	9	0.00000	9	0.00000	23	0.00000	0	0.00000
Candidatus Prometheoarchaeum	2732160	G	11	0.00000	0	0.00000	7	0.00000	10	0.00000	0	0.00000
Obolenskvirus	1915205	G	107	0.00004	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Alcyoneusvirus	2560086	G	11	0.00000	0	0.00000	3	0.00000	2	0.00000	0	0.00000
